Id,DepthM,DissolvedO2mgL,TemperatureC,Fluorescence,ColorCode
1,1,10.67,5,0.1,1
2,2,10.4,5,0.1,1
3,3,11.3,5,0.1,1
4,4,11.8,5,0.11,1
5,5,12.06,5,0.11,1
6,6,12.18,5,0.12,1
7,7,12.22,5,0.13,1
8,8,12.25,5,0.13,1
9,9,12.25,5,0.15,1
10,10,12.29,5,0.15,1
11,11,12.31,5,0.15,1
12,12,12.32,5,0.16,1
13,13,12.33,5,0.15,1
14,14,12.34,5,0.15,1
15,15,12.35,5,0.15,1
16,16,12.36,5,0.16,1
17,17,12.37,5,0.16,1
18,18,12.38,5,0.15,1
19,19,12.39,5,0.15,1
20,20,12.4,5,0.16,1
21,21,12.39,5,0.17,1
22,22,12.4,5,0.19,1
23,23,12.41,5,0.18,1
24,24,12.41,5,0.18,1
25,25,12.42,5,0.15,1
26,26,12.49,5,0.09,1
27,1,7.42,15,0.13,6
28,2,7.79,15,0.13,6
29,3,8.36,15,0.13,6
30,4,8.78,15,0.13,6
31,5,9.07,14,0.13,6
32,6,9.25,13,0.14,5
33,7,9.34,12,0.15,5
34,8,9.58,11,0.14,4
35,9,9.65,10,0.13,4
36,10,9.93,9,0.11,3
37,11,10.23,9,0.11,3
38,12,10.39,9,0.1,3
39,13,10.49,9,0.11,3
40,14,10.56,9,0.12,3
41,15,10.62,9,0.11,3
42,16,10.48,10,0.12,4
43,17,10.68,9,0.13,3
44,18,10.72,9,0.14,3
45,19,10.73,9,0.16,3
46,20,10.85,8,0.18,3
47,21,10.38,7,0.22,2
48,22,9.61,7,0.28,2
49,23,9.05,7,0.31,2
50,24,8.84,7,0.32,2
51,25,8.78,7,0.34,2
52,1,4.31,24,0.08,11
53,2,4.37,24,0.08,11
54,3,4.69,23,0.08,10
55,4,5.26,21,0.08,9
56,5,5.33,21,0.07,9
57,6,5.53,21,0.07,9
58,7,5.68,20,0.07,9
59,8,5.85,20,0.08,9
60,9,6,20,0.08,9
61,10,6.15,19,0.08,8
62,11,6.3,19,0.08,8
63,12,6.46,18,0.08,8
64,13,6.6,17,0.09,7
65,14,6.74,12,0.11,5
66,15,6.26,9,0.14,3
67,16,6.14,9,0.17,3
68,17,6.19,9,0.18,3
69,18,6.2,9,0.18,3
70,19,6.2,9,0.19,3
71,20,6.18,9,0.22,3
72,21,6.18,9,0.22,3
73,22,6.18,9,0.22,3
74,23,6.15,9,0.26,3
75,24,6.02,9,0.3,3
76,25,5.89,8,0.12,3
77,1,4.03,26,0.07,12
78,2,3.6,26,0.07,12
79,3,3.95,26,0.07,12
80,4,4.36,26,0.07,12
81,5,4.69,26,0.07,12
82,6,4.85,26,0.07,12
83,7,4.89,26,0.07,12
84,8,4.9,26,0.07,12
85,9,4.97,26,0.07,12
86,10,5.02,25,0.07,11
87,11,5.08,25,0.08,11
88,12,5.15,25,0.08,11
89,13,5.23,24,0.09,11
90,14,5.49,22,0.1,10
91,15,5.76,15,0.12,6
92,16,5.42,10,0.13,4
93,17,4.96,10,0.13,4
94,18,4.79,10,0.13,4
95,19,4.66,10,0.14,4
96,20,4.57,10,0.13,4
97,21,4.51,10,0.13,4
98,22,4.47,10,0.13,4
99,23,4.45,10,0.13,4
100,24,4.43,10,0.13,4
101,25,4.48,9,0.11,3
102,1,7.48,22,0.1,10
103,2,7.6,22,0.1,10
104,3,7.66,22,0.1,10
105,4,7.71,22,0.11,10
106,5,7.77,22,0.11,10
107,6,7.81,22,0.12,10
108,7,7.84,22,0.13,10
109,8,7.86,22,0.13,10
110,9,7.85,22,0.13,10
111,10,7.83,22,0.13,10
112,11,7.82,22,0.13,10
113,12,7.82,22,0.13,10
114,13,7.81,22,0.13,10
115,14,7.81,22,0.12,10
116,15,7.8,22,0.12,10
117,16,7.81,22,0.12,10
118,17,7.75,22,0.11,10
119,18,7.24,21,0.11,9
120,19,2.94,14,0.1,6
121,20,0.18,13,0.07,5
122,21,0.28,12,0.07,5
123,22,0.25,12,0.07,5
124,23,0.22,12,0.07,5
